FID	GEOID10
1087	37115BEECH
1088	37095BM
1089	37095OCK
1090	37095ENG
1091	37095FF
1092	37095SLAD
1093	37095SQ
1094	37095LL
1095	37117W
1096	37117J
1097	37117GR
1098	37117GN
1099	37117HM
1100	37117W2
1101	37117HS
1102	37117R2
1103	37117W1
1104	37117PP
1105	37117R1
1106	37117CR
1107	37117BG
1108	37135NS
1109	37135WD
1110	37135EA
1111	37135LC
1112	37135CH
1113	37135WC
1114	37135CB
1115	37135SM
1116	37135KM
1117	37135CX
1118	37135HF
1119	37135H
1120	37135CC
1121	37135PA
1122	37135SJ
1123	37135TO
1124	37135CO
1125	37135CP
1126	37135ENO
1127	37135BC
1128	37135TH
1129	37135CF
1130	37135DA
1131	37135CS1
1132	37135CW
1133	37135EF
1134	37135WH
1135	37135GL
1136	37135RF
1137	3700111
1138	3700110S
1139	3700109S
1140	3700110N
1141	37135OW
1142	37135LI
1143	37135GR
1144	37135OG
1145	37135EH
1146	37135ES
1147	37135CA
1148	37135CG
1149	37135WW
1150	37135NC
1151	37135MF
1152	37135BP
1153	37135DM
1154	37135GB
1155	37077ANTI
1156	37077SASS
1157	37077CRDL
1158	37077SALM
1159	37077TYHO
1160	37077WOEL
1161	37077CORI
1162	37077SOOX
1163	37077WILT
1164	37077CRDM
1165	37077BTNR
1166	37077MTEN
1167	37077BERE
1168	37077OKHL
1169	37077EAOX
1170	37067301
1171	37067607
1172	37067043
1173	37067013
1174	37067601
1175	37067804
1176	37067708
1177	37067304
1178	37067014
1179	37067082
1180	37067061
1181	37067012
1182	37067066
1183	37067021
1184	37067401
1185	37067506
1186	37067402
1187	37067902
1188	37067203
1189	37067303
1190	37067205
1191	37067042
1192	37067703
1193	37067507
1194	37067403
1195	37067505
1196	37067302
1197	37067704
1198	37067063
1199	37067604
1200	37067305
1201	3715114
1202	3715117
1203	3715121
1204	3715122
1205	3715102
1206	3715107
1207	3715105
1208	3715108
1209	3715124
1210	3715120
1211	3715106
1212	3715134
1213	3715140
1214	3715118
1215	3715109
1216	3715116
1217	3715110
1218	3715137
1219	3715133
1220	3715132
1221	3715112
1222	3715111
1223	3715125
1224	3715131
1225	3715136
1226	3715126
1227	3715113
1228	3715139
1229	3715101
1230	3715135
1231	3715103
1232	3715115
1233	3715127
1234	3715119
1235	3715104
1236	3715128
1237	3715123
1238	3715129
1239	3715130
1240	3715138
1241	37107SH
1242	37107SW
1243	37107N
1244	37107K2
1245	37107I
1246	37107T1
1247	37107FC
1248	37107MH
1249	37107K7
1250	37107K9
1251	37107K1
1252	37107K6
1253	37107K4
1254	37027PR07
1255	37027PR19
1256	37027PR02
1257	37027PR08
1258	37027PR17
1259	37107K8
1260	37107K3
1261	37107V
1262	37107C
1263	37107T2
1264	37107W
1265	37027PR27
1266	37027PR18
1267	37027PR21
1268	37027PR12
1269	37027PR16
1270	37027PR24
1271	37027PR29
1272	37027PR25
1273	37027PR22
1274	37027PR06
1275	37027PR13
1276	37027PR15
1277	37027PR01
1278	37027PR05
1279	3706912
1280	3706911
1281	3706909
1282	37107K5
1283	37107PH2
1284	37107PH1
1285	37027PR28
1286	37027PR23
1287	37027PR09
1288	37027PR14
1289	3706919
1290	3706903
1291	3706915
1292	3706902
1293	3706906
1294	3706901
1295	3706914
1296	3706907
1297	3706908
1298	3706913
1299	3706910
1300	3706918
1301	3706916
1302	3706905
1303	3706917
1304	3719904-RAM
1305	3719909-SOU
1306	3719910-PEN
1307	3719911-PRI
1308	3719901-BUR
1309	3719908-CRA
1310	3719902-CAN
1311	3719906-JAC
1312	3719907-BRU
1313	3719903-EGY
1314	3719905-GRE
1315	3700112E
1316	3700112W
1317	3700106N
1318	37001126
1319	37001063
1320	3700106W
1321	37001124
1322	370011210
1323	3700103N
1324	3700102
1325	3700106E
1326	3700106S
1327	3700112N
1328	3700101
1329	37001125
1330	37001129
1331	3700103S
1332	3700108S
1333	3700108N
1334	37001064
1335	37001128
1336	3700103W
1337	37001103
1338	3700107
1339	3700112S
1340	3700104
1341	3700105
1342	3700113
1343	37001035
1344	3700103C
1345	3700109N
1346	37001127
1347	37111N.COVE
1348	37111DYSART
1349	37111GLENWD
1350	37111M.COVE
1351	37111MAR-5
1352	37111PLEASA
1353	37111FORT-1
1354	37111MAR-1
1355	37111MAR-4
1356	37111HIGGIN
1357	37111MAR-3
1358	37111WEST-M
1359	37111CCREEK
1360	37111FORT-2
1361	37111MAR-2
1362	37111NEBO
1363	37111T.COVE
1364	37037PIT113
1365	3703715
1366	370376
1367	37037NWM117
1368	3703778
1369	370379
1370	3703718
1371	3703745
1372	3703742
1373	37037MCH110
1374	370373
1375	3703785
1376	3703724
1377	3703721
1378	37037ESC114
1379	3703730
1380	3703720
1381	3703775
1382	37181WATK
1383	37181WH2
1384	37181SH1
1385	37181TWNS
1386	37181MIDD
1387	37181DABN
1388	37181SCRK
1389	37181SH2
1390	37181EH1
1391	37181WMSB
1392	37181NH2
1393	37181HTOP
1394	37181NH1
1395	37181EH2
1396	37181WH1
1397	37181KITT
1398	370230029
1399	370230018
1400	370230001
1401	370230051
1402	370230021
1403	370230040
1404	370230062
1405	370230013
1406	370230019
1407	370230020
1408	370230052
1409	370230066
1410	370230034
1411	370230022
1412	370230047
1413	370230048
1414	370230036
1415	370230038
1416	370230031
1417	370230035
1418	370230024
1419	370230015
1420	370230039
1421	370230011
1422	370230053
1423	370230064
1424	370230070
1425	370230003
1426	370230014
1427	370230012
1428	370230065
1429	371670008
1430	371670013
1431	371670007
1432	371670023
1433	371670028
1434	371670012
1435	371670015
1436	371670017
1437	371670019
1438	371670010
1439	371670018
1440	371670020
1441	371670024
1442	3705901
1443	3705902
1444	3705903
1445	3705904
1446	3705905
1447	3705906
1448	3705907
1449	3705908
1450	3705909
1451	3705910
1452	3705911
1453	3705912
1454	3705913
1455	3705914
1456	371670014
1457	371670026
1458	371670021
1459	371670027
1460	371670003
1461	371670022
1462	371670011
1463	371670016
1464	371670002
1465	371670025
1466	37195PRWC
1467	37195PRWB
1468	37195PRWP
1469	37195PRWL
1470	37195PROL
1471	37195PRWA
1472	37195PRWE
1473	37195PRBL
1474	37195PRSP
1475	37195PRWN
1476	37195PRTO
1477	37195PRTA
1478	37195PRSA
1479	37195PRWJ
1480	37195PRWH
1481	37195PRWM
1482	37195PRWK
1483	37195PRWQ
1484	37195PRGA
1485	37195PRWD
1486	37195PRWI
1487	37195PRWR
1488	37195PRCR
1489	37195PRST
1490	37197BNVL
1491	37197DCRK
1492	37197EBND
1493	37197FBSH
1494	37197NBCK
1495	37197NFAL
1496	37197NKNB
1497	37197NLIB
1498	37197SBCK
1499	37197SFAL
1500	37197SKNB
1501	37197SLIB
1502	37045WACO
1503	37045CASAR
1504	37045LAWNDL
1505	37045S5
1506	37045POLKVL
1507	37045KM3
1508	37045BSPGS
1509	37045MULLS
1510	37045LATT
1511	37045GROVER
1512	37045S8
1513	37045S7
1514	37045S6
1515	37045KM4
1516	37045KM2
1517	37045FALSTN
1518	37045KINGST
1519	37045S4
1520	37045S1
1521	37045OAKGR
1522	37045RIPPY
1523	37045S2
1524	37045MRB-YO
1525	37045SHANGI
1526	37045H-SPGS
1527	37045S3
1528	37045BETHWR
1529	37045KM1
1530	3701907
1531	3701922
1532	3701920
1533	3701917
1534	3701901
1535	3701911
1536	3701913
1537	3701910
1538	3701905
1539	3701919
1540	3701916
1541	3701914
1542	3701915
1543	3701902
1544	3701923
1545	3701921
1546	3701908
1547	3701904
1548	3701903
1549	3701918
1550	3701912
1551	3701906
1552	3701909
1553	37125LTR
1554	37125PHC
1555	37125RBN
1556	37125DHR
1557	37125WEM
1558	37125CAR
1559	37125PHA
1560	37125EAB
1561	37125VSS
1562	37125WAB
1563	37125BEN
1564	37125SSP
1565	37125WND
1566	37125SLS
1567	37125CAM
1568	37125PBF
1569	37125PHB2
1570	37125TLT
1571	37125PHB1
1572	37125EUR
1573	37125PDN
1574	37125KWD
1575	37125EWD
1576	37125NSP
1577	3700904
1578	3700916
1579	3700913
1580	3700914
1581	3700920
1582	3700909
1583	3700915
1584	3700912
1585	3700903
1586	3700910
1587	3700902
1588	3700911
1589	3700917
1590	3700907
1591	3700906
1592	3700918
1593	3700908
1594	3712101
1595	3712104
1596	3712106
1597	3712107
1598	3712105
1599	3712103
1600	3712109
1601	3712108
1602	3712102
1603	3715305
1604	3715309
1605	3715314
1606	3715304
1607	3715301
1608	3715308
1609	3715316
1610	3715302
1611	3715313
1612	3715315
1613	3715312
1614	3715311
1615	3715310
1616	3715307
1617	3715306
1618	3715303
1619	37131LAKE-G
1620	37131GASTON
1621	37131SEABOA
1622	37131RICH-S
1623	37131SEVERN
1624	37131PLEASA
1625	37131GARYSB
1626	37131GALATI
1627	37131NEWTOW
1628	37131PENDLE
1629	37131WOODLA
1630	3705702
1631	3705750
1632	3705710
1633	3705748
1634	3705760
1635	3705752
1636	3705740
1637	3705728
1638	3705770
1639	3705776
1640	3705780
1641	3705768
1642	3705772
1643	3705722
1644	3705774
1645	37131JACKSO
1646	37131CREEKS
1647	37131REHOBE
1648	37131CONWAY
1649	37131LASKER
1650	3705736
1651	3705716
1652	3705726
1653	3705704
1654	3705782
1655	3705724
1656	3705730
1657	3705766
1659	3705754
1660	3705746
1661	3705758
1662	3705708
1663	3705734
1664	3705742
1665	3705720
1666	3705718
1667	3705784
1668	3705778
1669	3705706
1670	3705744
1671	3705762
1672	3705732
1673	3705756
1674	37131MILWAU
1675	3705764
1676	3705738
1677	3705714
1678	37131POTECA
1679	37103P01
1680	37103P02
1681	37103P04
1682	37103P07
1683	37103P05
1684	37103P03
1685	37103P06
1686	37003B1
1687	37003B2
1688	37003E
1689	37003G1
1690	37003G2
1691	37003L
1692	37003M
1693	37003S1
1694	37003S2
1695	37003SL
1696	37003T1
1697	37003T2
1698	37003T3
1699	37003T4
1700	37003T5
1701	37003W
1702	37097CC1
1703	37097FT
1704	37119208
1705	37119127
1706	37097BE
1707	37097OL
1708	37097SB
1709	37097TB
1710	37097DV2-B
1711	37097EM
1712	37097CD
1713	37097UG
1714	37091WN
1715	37091CM
1716	37091CO
1717	37091UN
1718	37091M2
1719	37091BR
1720	37091M1
1721	37091A1
1722	37091HV
1723	37091A2
1724	37091A3
1725	37091SJ
1726	37097NH
1727	37097CH-B
1728	37097ST4
1729	37091ML
1730	37097SH-B
1731	37097ST3
1732	37097ST6
1733	37097ST1
1734	37097ST5
1735	37097SH-A
1736	37097ST2
1737	37097DV2-A
1738	37097DV1-B
1739	37097CC4
1740	37097CC2
1741	37097DV1-A
1742	37097CH-A
1743	3707102
1744	3707108
1745	3707123
1746	3707116
1747	3707120
1748	3707125
1749	3707117
1750	3707146
1751	3707130
1752	3707107
1753	3707105
1754	3707121
1755	3707112
1756	3707137
1757	3707126
1758	370650701
1759	370650101
1760	370650601
1761	370651204
1762	3707134
1763	3707114
1764	3707118
1765	3707145
1766	3707110
1767	3707138
1768	3707142
1769	3707115
1770	3707139
1771	3707122
1772	3707106
1773	3707132
1774	3707133
1775	370650801
1776	370650104
1777	370651202
1778	370650501
1779	370651001
1780	370651401
1781	370650401
1782	370650301
1783	370651203
1784	370651205
1785	370651201
1786	370650102
1787	370651301
1788	3707143
1789	3707131
1790	3707119
1791	3707140
1792	3707144
1793	3707141
1794	3707103
1795	3707113
1796	370650901
1797	370651101
1798	370650103
1799	370650201
1800	3707111
1801	3707136
1802	3707135
1803	3707104
1804	3707128
1805	3707127
1806	3707109
1807	3707124
1808	3707101
1809	3707129
1810	3702504-02
1811	3702502-07
1812	3702502-02
1813	3702512-09
1814	3702512-12
1815	3702501-10
1816	3702512-08
1817	3702512-03
1818	3702502-03
1819	3702503-00
1820	3702505-00
1821	3702504-06
1822	3702511-02
1823	3702504-10
1824	3702510-00
1825	3702501-02
1826	3702504-08
1827	3702502-06
1828	3702502-01
1829	3702504-07
1830	3702502-05
1831	37187P2
1832	37187SC
1833	37187LM
1834	37187SK
1835	37187P3
1836	3702501-06
1837	3702501-04
1838	37187P1
1839	3702504-01
1840	3702512-02
1841	37105C
1842	37105A
1843	37105E
1844	37105D
1845	37105B
1846	3702504-05
1847	3702512-06
1848	3702512-11
1849	3702512-04
1850	3702502-08
1851	3702512-05
1852	3702512-01
1853	3702512-07
1854	3702511-01
1855	3702502-09
1856	3702501-08
